Year,Month,tem,rain
1970,4,28.1814,88.686
1970,5,28.8184,153.278
1970,6,28.1102,636.673
1970,7,27.7758,550.896
1970,8,28.0489,421.068
1970,9,27.7837,404.488
1970,10,26.3453,296.902
1970,11,22.8516,55.8865
1970,12,19.17,0.05075
1971,1,18.1881,11.8691
1971,2,19.7759,6.31247
1971,3,24.4476,8.55389
1971,4,26.2185,69.8946
1971,5,27.4486,147.566
1971,6,27.438,363.691
1971,7,27.1886,517.82
1971,8,26.9405,478.907
1971,9,27.8165,279.091
1971,10,26.6511,160.661
1971,11,22.2256,71.9736
1971,12,19.3208,0.2358
1972,1,18.7213,1.34663
1972,2,18.6849,26.5107
1972,3,25.0857,25.2717
1972,4,27.1956,104.872
1972,5,29.0864,155.076
1972,6,28.2846,317.996
1972,7,28.3326,375.331
1972,8,27.4792,424.779
1972,9,28.1104,199.335
1972,10,26.6273,87.8432
1972,11,23.1532,2.57908
1972,12,19.4455,0.02066
1973,1,18.8691,4.79803
1973,2,21.9105,31.0566
1973,3,24.1362,46.4803
1973,4,28.5821,111.753
1973,5,27.042,492.833
1973,6,27.8315,478.214
1973,7,28.2071,430.427
1973,8,27.9847,287.732
1973,9,27.6703,384.063
1973,10,26.7585,174.955
1973,11,22.9698,96.3741
1973,12,19.0137,44.2418
1974,1,17.631,5.48967
1974,2,20.1513,0.04505
1974,3,24.6152,118.325
1974,4,27.2181,148.729
1974,5,27.6897,333.845
1974,6,27.8498,382.049
1974,7,27.0471,780.355
1974,8,27.9089,375.054
1974,9,27.4488,334.658
1974,10,27.6097,219.244
1974,11,24.1236,20.3715
1974,12,18.2645,0.7203
1975,1,18.0454,2.66038
1975,2,20.7283,12.4828
1975,3,25.4553,12.8183
1975,4,28.2002,94.5976
1975,5,28.0144,251.874
1975,6,28.3837,338.62
1975,7,27.1209,682.34
1975,8,27.9833,279.506
1975,9,27.5182,343.686
1975,10,27.4014,195.543
1975,11,22.4417,51.6203
1975,12,18.307,0.85572
1976,1,18.3264,1.18694
1976,2,21.1868,17.157
1976,3,25.5237,31.1362
1976,4,27.7962,81.9646
1976,5,27.4224,284.795
1976,6,27.5163,652.306
1976,7,27.8497,473.475
1976,8,27.3903,435.298
1976,9,27.8908,215.449
1976,10,26.592,98.277
1976,11,24.3715,41.4419
1976,12,19.1128,2.1749
1977,1,17.9541,3.89109
1977,2,20.3662,33.824
1977,3,26.3199,25.9827
1977,4,26.1722,304.988
1977,5,26.4029,329.388
1977,6,27.1542,490.912
1977,7,27.9848,514.169
1977,8,28.1256,287.439
1977,9,28.3048,184.801
1977,10,26.0245,149.403
1977,11,23.717,35.8673
1977,12,19.1805,19.7034
1978,1,16.8006,0.6893
1978,2,20.2042,7.28948
1978,3,24.0473,25.2145
1978,4,27.0655,137.157
1978,5,27.3758,363.313
1978,6,27.4932,488.343
1978,7,27.9215,425.095
1978,8,28.6085,359.019
1978,9,27.6907,372.462
1978,10,27.517,107.964
1978,11,24.0292,8.64631
1978,12,19.7649,0.58537
1979,1,19.1725,11.8392
1979,2,20.0549,15.3143
1979,3,24.9246,20.5132
1979,4,28.2364,80.0346
1979,5,29.526,116.378
1979,6,28.8,425.375
1979,7,28.2819,526.512
1979,8,28.2275,536.167
1979,9,28.0401,417.903
1979,10,26.9451,113.73
1979,11,25.1142,25.5128
1979,12,20.0687,40.2626
1980,1,18.2739,3.3678
1980,2,20.6525,42.1885
1980,3,25.0401,60.7095
1980,4,28.7934,74.1954
1980,5,27.1723,347.529
1980,6,28.2177,340.656
1980,7,28.1036,516.119
1980,8,28.1573,395.61
1980,9,28.396,246.292
1980,10,26.4103,185.85
1980,11,23.3395,1.61647
1980,12,20.3604,0.85529
1981,1,18.3163,23.5086
1981,2,20.644,27.508
1981,3,24.1726,86.7601
1981,4,25.7174,378.903
1981,5,27.1297,326.596
1981,6,28.551,405.931
1981,7,27.6783,679.557
1981,8,28.462,376.863
1981,9,27.9154,264.709
1981,10,27.2273,22.197
1981,11,23.4404,1.09602
1981,12,19.0389,44.4069
1982,1,18.9885,0.37417
